Text Name,Binoculars Score,Mink Score
Gettysburg Address,0.7724359035491943,126.65987014770508
MIT License,0.918749988079071,85.21601557731628
US Constitution Snippet,0.8442028760910034,14.319084584712982
Boilerplate Terms of Service,0.8282828330993652,867.992639541626
Bill of Rights,0.7285714149475098,68.45220923423767
Apache License,0.8779527544975281,29.802322387695312
Boilerplate EULA Warranty Agreement,0.7581395506858826,1065.4330253601074
Declaration of Independence,0.7142857313156128,92.66659617424011
Introduction to the Magna Carta,0.9078013896942139,445.17219066619873
Introduction to the Emancipation Proclamation,0.803108811378479,97.3232090473175
SeenMIA,0.9764832234850117,269.28918326602263
UnseenMIA,1.005487576607735,335.3812761845127
